,EquipmentPrice,LoanTerm,payment,total_payment,finance_product_gain,maintenance_fee,travel_labor,insurance,warranty_fee,buscon_fee,total_interest,total_gain
56,147500,7,2927.2899923302916,245892.3593557445,27175.0,7375.0,2100,7375.0,0.0,10325.0,71217.3593557445,98392.3593557445
57,150000,7,2976.4813481325,250024.43324312998,27600.0,7500.0,2100,7500.0,0.0,10500.0,72424.43324312998,100024.43324312998
58,152500,7,3025.6727039347084,254156.5071305155,28025.0,7625.0,2100,7625.0,0.0,10675.0,73631.5071305155,101656.5071305155
59,155000,7,3074.864059736917,258288.58101790104,28450.0,7750.0,2100,7750.0,0.0,10850.0,74838.58101790104,103288.58101790104
60,157500,7,3124.055415539125,262420.6549052865,28875.0,7875.0,2100,7875.0,0.0,11025.0,76045.6549052865,104920.6549052865
61,160000,7,3173.246771341334,266552.72879267205,29300.0,8000.0,2100,8000.0,0.0,11200.0,77252.72879267205,106552.72879267205
62,162500,7,3222.438127143542,270684.80268005753,29725.0,8125.0,2100,8125.0,0.0,11375.0,78459.80268005753,108184.80268005753
63,165000,7,3271.6294829457506,274816.8765674431,30150.0,8250.0,2100,8250.0,0.0,11550.0,79666.87656744308,109816.87656744308
64,167500,7,3320.8208387479585,278948.9504548285,30575.0,8375.0,2100,8375.0,0.0,11725.0,80873.9504548285,111448.9504548285
65,170000,7,3370.012194550167,283081.024342214,31000.0,8500.0,2100,8500.0,0.0,11900.0,82081.02434221399,113081.02434221399
66,172500,7,3419.2035503523753,287213.09822959953,31425.0,8625.0,2100,8625.0,0.0,12075.0,83288.09822959953,114713.09822959953
67,175000,7,3468.3949061545836,291345.172116985,31850.0,8750.0,2100,8750.0,0.0,12250.0,84495.17211698502,116345.17211698502
68,177500,7,3517.586261956792,295477.2460043705,32275.0,8875.0,2100,8875.0,0.0,12425.0,85702.2460043705,117977.2460043705
69,180000,7,3566.7776177590003,299609.31989175605,32700.0,9000.0,2100,9000.0,0.0,12600.0,86909.31989175605,119609.31989175605
70,182500,7,3615.9689735612087,303741.39377914154,33125.0,9125.0,2100,9125.0,0.0,12775.0,88116.39377914154,121241.39377914154
71,185000,7,3665.160329363417,307873.467666527,33550.0,9250.0,2100,9250.0,0.0,12950.0,89323.46766652702,122873.46766652702
72,187500,7,3714.3516851656254,312005.5415539125,33975.0,9375.0,2100,9375.0,0.0,13125.0,90530.54155391251,124505.54155391251
73,190000,7,3763.543040967834,316137.61544129805,34400.0,9500.0,2100,9500.0,0.0,13300.0,91737.61544129805,126137.61544129805
74,192500,7,3812.734396770042,320269.68932868354,34825.0,9625.0,2100,9625.0,0.0,13475.0,92944.68932868354,127769.68932868354
75,195000,7,3861.9257525722505,324401.763216069,35250.0,9750.0,2100,9750.0,0.0,13650.0,94151.76321606903,129401.76321606903
76,197500,7,3911.1171083744584,328533.8371034545,35675.0,9875.0,2100,9875.0,0.0,13825.0,95358.83710345451,131033.83710345451
