,EquipmentPrice,LoanTerm,payment,total_payment,finance_product_gain,total_interest,total_gain
29,80000,7,1538.171004718286,129206.36439633602,10580.0,38626.36439633602,49206.36439633602
30,82500,7,1585.4575986157324,133178.4382837215,10845.0,39833.43828372151,50678.43828372151
31,85000,7,1632.7441925131789,137150.51217110702,11110.0,41040.512171107024,52150.512171107024
32,87500,7,1680.0307864106253,141122.58605849254,11375.0,42247.58605849254,53622.58605849254
33,90000,7,1727.3173803080717,145094.65994587803,11640.0,43454.659945878026,55094.659945878026
34,92500,7,1774.6039742055182,149066.7338332635,11905.0,44661.73383326351,56566.73383326351
35,95000,7,1821.8905681029644,153038.807720649,12170.0,45868.807720649,58038.807720649
36,97500,7,1869.1771620004108,157010.8816080345,12435.0,47075.88160803451,59510.88160803451
37,100000,7,1916.4637558978573,160982.95549542,12700.0,48282.95549542,60982.95549542
38,102500,7,1963.7503497953037,164955.02938280551,12965.0,49490.029382805515,62455.029382805515
39,105000,7,2011.0369436927501,168927.103270191,13230.0,50697.103270191,63927.103270191
40,107500,7,2058.3235375901963,172899.1771575765,13495.0,51904.17715757649,65399.17715757649
41,110000,7,2105.610131487643,176871.251044962,13760.0,53111.251044962,66871.251044962
42,112500,7,2152.896725385089,180843.3249323475,14025.0,54318.32493234749,68343.32493234749
43,115000,7,2200.1833192825356,184815.398819733,14290.0,55525.398819733,69815.398819733
44,117500,7,2247.4699131799825,188787.47270711855,14555.0,56732.47270711855,71287.47270711855
45,120000,7,2294.756507077429,192759.54659450403,14820.0,57939.546594504034,72759.54659450403
46,122500,7,2342.0431009748754,196731.62048188952,15085.0,59146.62048188952,74231.62048188952
47,125000,7,2389.329694872322,200703.69436927504,15350.0,60353.694369275036,75703.69436927504
48,127500,7,2436.6162887697683,204675.76825666055,15615.0,61560.76825666055,77175.76825666055
49,130000,7,2483.9028826672147,208647.84214404604,15880.0,62767.84214404604,78647.84214404604
50,132500,7,2531.189476564661,212619.91603143152,16145.0,63974.91603143152,80119.91603143152
51,135000,7,2578.476070462107,216591.989918817,16410.0,65181.98991881701,81591.98991881701
52,137500,7,2625.7626643595536,220564.0638062025,16675.0,66389.0638062025,83064.0638062025
53,140000,7,2673.049258257,224536.137693588,16940.0,67596.13769358801,84536.13769358801
54,142500,7,2720.3358521544465,228508.2115809735,17205.0,68803.2115809735,86008.2115809735
55,145000,7,2767.622446051893,232480.285468359,17470.0,70010.28546835901,87480.28546835901
56,147500,7,2814.9090399493393,236452.3593557445,17735.0,71217.3593557445,88952.3593557445
57,150000,7,2862.1956338467858,240424.43324313,18000.0,72424.43324313001,90424.43324313001
58,152500,7,2909.482227744232,244396.5071305155,18265.0,73631.5071305155,91896.5071305155
59,155000,7,2956.768821641679,248368.58101790104,18530.0,74838.58101790104,93368.58101790104
60,157500,7,3004.055415539125,252340.6549052865,18795.0,76045.6549052865,94840.6549052865
61,160000,7,3051.342009436572,256312.72879267205,19060.0,77252.72879267205,96312.72879267205
62,162500,7,3098.628603334018,260284.8026800575,19325.0,78459.8026800575,97784.8026800575
63,165000,7,3145.915197231465,264256.876567443,19590.0,79666.87656744302,99256.87656744302
64,167500,7,3193.201791128911,268228.9504548285,19855.0,80873.9504548285,100728.9504548285
65,170000,7,3240.4883850263577,272201.02434221405,20120.0,82081.02434221405,102201.02434221405
66,172500,7,3287.774978923804,276173.09822959953,20385.0,83288.09822959953,103673.09822959953
67,175000,7,3335.0615728212506,280145.1721169851,20650.0,84495.17211698508,105145.17211698508
68,177500,7,3382.348166718697,284117.24600437057,20915.0,85702.24600437057,106617.24600437057
69,180000,7,3429.6347606161435,288089.31989175605,21180.0,86909.31989175605,108089.31989175605
70,182500,7,3476.92135451359,292061.39377914154,21445.0,88116.39377914154,109561.39377914154
71,185000,7,3524.2079484110363,296033.467666527,21710.0,89323.46766652702,111033.46766652702
72,187500,7,3571.4945423084823,300005.5415539125,21975.0,90530.54155391251,112505.54155391251
73,190000,7,3618.7811362059288,303977.615441298,22240.0,91737.615441298,113977.615441298
74,192500,7,3666.067730103375,307949.68932868354,22505.0,92944.68932868354,115449.68932868354
75,195000,7,3713.3543240008216,311921.763216069,22770.0,94151.76321606903,116921.76321606903
76,197500,7,3760.640917898268,315893.8371034545,23035.0,95358.83710345451,118393.83710345451
77,200000,7,3807.9275117957145,319865.91099084,23300.0,96565.91099084,119865.91099084
78,202500,7,3729.8569628360183,313307.98487822554,13035.0,97772.98487822554,110807.98487822554
79,205000,7,3775.5959376858455,317150.05876561103,13170.0,98980.05876561103,112150.05876561103
80,207500,7,3821.3349125356735,320992.1326529966,13305.0,100187.13265299657,113492.13265299657
81,210000,7,3867.0738873855003,324834.206540382,13440.0,101394.206540382,114834.206540382
82,212500,7,3912.812862235328,328676.28042776755,13575.0,102601.28042776755,116176.28042776755
83,215000,7,3958.551837085155,332518.35431515303,13710.0,103808.35431515303,117518.35431515303
84,217500,7,4004.2908119349827,336360.4282025385,13845.0,105015.42820253852,118860.42820253852
85,220000,7,4050.02978678481,340202.502089924,13980.0,106222.502089924,120202.502089924
86,222500,7,4095.7687616346375,344044.57597730955,14115.0,107429.57597730955,121544.57597730955
87,225000,7,4141.507736484465,347886.64986469503,14250.0,108636.64986469503,122886.64986469503
88,227500,7,4187.246711334292,351728.7237520805,14385.0,109843.72375208052,124228.72375208052
89,230000,7,4232.985686184119,355570.797639466,14520.0,111050.797639466,125570.797639466
90,232500,7,4278.724661033946,359412.8715268515,14655.0,112257.8715268515,126912.8715268515
91,235000,7,4324.463635883774,363254.94541423704,14790.0,113464.94541423704,128254.94541423704
92,237500,7,4370.202610733601,367097.0193016225,14925.0,114672.01930162252,129597.01930162252
93,240000,7,4415.9415855834295,370939.09318900807,15060.0,115879.09318900807,130939.09318900807
94,242500,7,4461.680560433256,374781.1670763935,15195.0,117086.1670763935,132281.1670763935
95,245000,7,4507.419535283084,378623.24096377904,15330.0,118293.24096377904,133623.24096377904
96,247500,7,4553.158510132911,382465.3148511645,15465.0,119500.31485116453,134965.31485116453
97,250000,7,4598.897484982738,386307.38873855,15600.0,120707.38873855001,136307.38873855
98,252500,7,4644.636459832565,390149.4626259355,15735.0,121914.4626259355,137649.4626259355
99,255000,7,4690.3754346823935,393991.53651332104,15870.0,123121.53651332104,138991.53651332104
100,257500,7,4736.1144095322215,397833.6104007066,16005.0,124328.61040070659,140333.6104007066
101,260000,7,4781.853384382048,401675.684288092,16140.0,125535.68428809202,141675.68428809202
102,262500,7,4827.592359231876,405517.75817547756,16275.0,126742.75817547756,143017.75817547756
103,265000,7,4873.331334081703,409359.83206286305,16410.0,127949.83206286305,144359.83206286305
104,267500,7,4919.07030893153,413201.90595024853,16545.0,129156.90595024853,145701.90595024853
105,270000,7,4964.809283781357,417043.979837634,16680.0,130363.97983763402,147043.97983763402
106,272500,7,5010.5482586311855,420886.05372501956,16815.0,131571.05372501956,148386.05372501956
107,275000,7,5056.287233481013,424728.12761240505,16950.0,132778.12761240505,149728.12761240505
108,277500,7,5102.02620833084,428570.20149979054,17085.0,133985.20149979054,151070.20149979054
109,280000,7,5147.765183180667,432412.275387176,17220.0,135192.27538717602,152412.27538717602
110,282500,7,5193.504158030495,436254.34927456157,17355.0,136399.34927456157,153754.34927456157
111,285000,7,5239.243132880321,440096.423161947,17490.0,137606.423161947,155096.423161947
112,287500,7,5284.982107730149,443938.49704933254,17625.0,138813.49704933254,156438.49704933254
113,290000,7,5330.721082579977,447780.570936718,17760.0,140020.57093671802,157780.57093671802
114,292500,7,5376.460057429805,451622.64482410357,17895.0,141227.64482410357,159122.64482410357
115,295000,7,5422.199032279631,455464.718711489,18030.0,142434.718711489,160464.718711489
116,297500,7,5467.938007129459,459306.79259887454,18165.0,143641.79259887454,161806.79259887454
117,300000,7,5513.676981979286,463148.86648626,18300.0,144848.86648626003,163148.86648626003
118,302500,7,5559.415956829113,466990.9403736455,18435.0,146055.9403736455,164490.9403736455
119,305000,7,5605.154931678941,470833.014261031,18570.0,147263.014261031,165833.014261031
